14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100
0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 30, 40, 50, 60, 70, 80, 90, 100
           t         gam           m         rho
   3.1078E+03  1.1382E+00  2.6263E+01  4.0424E-01
   3.3590E+03  1.1461E+00  2.6071E+01  1.2872E+00
   3.1752E+03  1.1429E+00  2.6421E+01  7.9475E-01
   3.4055E+03  1.1488E+00  2.6169E+01  1.9117E+00
   3.2141E+03  1.1457E+00  2.6513E+01  1.1806E+00
   3.4383E+03  1.1506E+00  2.6239E+01  2.5313E+00
   3.2414E+03  1.1478E+00  2.6577E+01  1.5635E+00
   3.4636E+03  1.1521E+00  2.6292E+01  3.1474E+00
   3.2622E+03  1.1494E+00  2.6627E+01  1.9444E+00
   3.4842E+03  1.1534E+00  2.6336E+01  3.7608E+00
   3.2791E+03  1.1507E+00  2.6667E+01  2.3236E+00
   3.5015E+03  1.1544E+00  2.6373E+01  4.3721E+00
   3.2933E+03  1.1519E+00  2.6700E+01  2.7015E+00
   3.5164E+03  1.1553E+00  2.6405E+01  4.9814E+00
   3.3054E+03  1.1529E+00  2.6729E+01  3.0783E+00
   3.5295E+03  1.1561E+00  2.6432E+01  5.5892E+00
   3.3161E+03  1.1538E+00  2.6754E+01  3.4541E+00
   3.5412E+03  1.1568E+00  2.6457E+01  6.1955E+00
   3.3255E+03  1.1546E+00  2.6776E+01  3.8291E+00
   3.5517E+03  1.1574E+00  2.6480E+01  6.8006E+00
   3.3340E+03  1.1554E+00  2.6796E+01  4.2033E+00
   3.0460E+03  1.1279E+00  2.6034E+01  1.0419E-01
   2.9082E+03  1.1239E+00  2.6418E+01  6.4202E-02
   3.2636E+03  1.1387E+00  2.6504E+01  6.7342E-01
   3.0981E+03  1.1344E+00  2.6873E+01  4.1550E-01
   3.3435E+03  1.1427E+00  2.6678E+01  1.3233E+00
   3.1669E+03  1.1383E+00  2.7040E+01  8.1684E-01
   3.3902E+03  1.1450E+00  2.6780E+01  1.9651E+00
   3.2069E+03  1.1406E+00  2.7137E+01  1.2133E+00
   3.4233E+03  1.1466E+00  2.6853E+01  2.6018E+00
   3.2352E+03  1.1423E+00  2.7206E+01  1.6067E+00
   3.4490E+03  1.1479E+00  2.6909E+01  3.2349E+00
