14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000
0.1,1,2,3,4,5,6,7,8,10,15,20,25,30,40,50
   t           gam         m           rho         
   2.6717E+03  1.2666E+00  2.9368E+01  5.4692E+00
   2.3550E+03  1.2707E+00  2.9368E+01  3.4188E+00
   2.6741E+03  1.2665E+00  2.9374E+01  6.3762E+00
   2.3572E+03  1.2706E+00  2.9374E+01  3.9858E+00
   2.6761E+03  1.2664E+00  2.9379E+01  7.2829E+00
   2.3590E+03  1.2705E+00  2.9379E+01  4.5525E+00
   2.6778E+03  1.2664E+00  2.9383E+01  8.1892E+00
   2.3606E+03  1.2704E+00  2.9383E+01  5.1191E+00
   2.6792E+03  1.2663E+00  2.9387E+01  9.0953E+00
   2.3619E+03  1.2704E+00  2.9387E+01  5.6854E+00
   2.4957E+03  1.2731E+00  2.9222E+01  1.4273E-01
   2.1933E+03  1.2776E+00  2.9222E+01  8.9282E-02
   2.5412E+03  1.2713E+00  2.9328E+01  9.5702E-01
   2.2352E+03  1.2756E+00  2.9328E+01  5.9852E-01
   2.5527E+03  1.2708E+00  2.9355E+01  1.9072E+00
   2.2458E+03  1.2751E+00  2.9355E+01  1.1927E+00
   2.5584E+03  1.2705E+00  2.9368E+01  2.8557E+00
   2.2510E+03  1.2749E+00  2.9368E+01  1.7859E+00
   2.5620E+03  1.2704E+00  2.9377E+01  3.8034E+00
   2.2543E+03  1.2747E+00  2.9377E+01  2.3784E+00
   2.5645E+03  1.2703E+00  2.9383E+01  4.7505E+00
   2.2567E+03  1.2746E+00  2.9383E+01  2.9707E+00
   2.5665E+03  1.2702E+00  2.9388E+01  5.6971E+00
   2.2585E+03  1.2745E+00  2.9388E+01  3.5626E+00
   2.5681E+03  1.2701E+00  2.9392E+01  6.6434E+00
   2.2600E+03  1.2744E+00  2.9392E+01  4.1543E+00
   2.5694E+03  1.2701E+00  2.9395E+01  7.5894E+00
   2.2612E+03  1.2744E+00  2.9395E+01  4.7459E+00
   2.5705E+03  1.2700E+00  2.9397E+01  8.5353E+00
   2.2622E+03  1.2743E+00  2.9397E+01  5.3373E+00
   2.5714E+03  1.2700E+00  2.9400E+01  9.4809E+00
   2.2630E+03  1.2743E+00  2.9400E+01  5.9286E+00
   2.3817E+03  1.2771E+00  2.9302E+01  1.4997E-01
   2.0893E+03  1.2818E+00  2.9302E+01  9.3844E-02
   2.4085E+03  1.2760E+00  2.9363E+01  1.0109E+00
   2.1139E+03  1.2806E+00  2.9363E+01  6.3254E-01
   2.4148E+03  1.2757E+00  2.9377E+01  2.0176E+00
   2.1197E+03  1.2803E+00  2.9377E+01  1.2624E+00
   2.4179E+03  1.2756E+00  2.9384E+01  3.0233E+00
   2.1225E+03  1.2802E+00  2.9384E+01  1.8916E+00
   2.4198E+03  1.2755E+00  2.9389E+01  4.0285E+00
   2.1243E+03  1.2801E+00  2.9389E+01  2.5205E+00
   2.4212E+03  1.2754E+00  2.9392E+01  5.0334E+00
   2.1255E+03  1.2801E+00  2.9392E+01  3.1492E+00
   2.4222E+03  1.2754E+00  2.9395E+01  6.0380E+00
   2.1265E+03  1.2800E+00  2.9395E+01  3.7777E+00
   2.4230E+03  1.2753E+00  2.9397E+01  7.0424E+00
   2.1272E+03  1.2800E+00  2.9397E+01  4.4061E+00
   2.4237E+03  1.2753E+00  2.9398E+01  8.0466E+00
   2.1279E+03  1.2799E+00  2.9398E+01  5.0344E+00
   2.4243E+03  1.2753E+00  2.9400E+01  9.0508E+00
   2.1284E+03  1.2799E+00  2.9400E+01  5.6626E+00
   2.4248E+03  1.2753E+00  2.9401E+01  1.0055E+01
   2.1288E+03  1.2799E+00  2.9401E+01  6.2908E+00
   2.3025E+03  1.2800E+00  2.9331E+01  1.5528E-01
   2.0171E+03  1.2849E+00  2.9331E+01  9.7198E-02
   2.3203E+03  1.2793E+00  2.9371E+01  1.0497E+00
   2.0334E+03  1.2841E+00  2.9371E+01  6.5700E-01
   2.3243E+03  1.2791E+00  2.9380E+01  2.0964E+00
   2.0371E+03  1.2839E+00  2.9380E+01  1.3121E+00
   2.3262E+03  1.2790E+00  2.9385E+01  3.1425E+00
   2.0389E+03  1.2839E+00  2.9385E+01  1.9668E+00
   2.3274E+03  1.2789E+00  2.9388E+01  4.1882E+00
   2.0400E+03  1.2838E+00  2.9388E+01  2.6213E+00
   2.3283E+03  1.2789E+00  2.9390E+01  5.2337E+00
   2.0408E+03  1.2838E+00  2.9390E+01  3.2756E+00
   2.3290E+03  1.2789E+00  2.9391E+01  6.2790E+00
   2.0414E+03  1.2837E+00  2.9391E+01  3.9299E+00
   2.3295E+03  1.2789E+00  2.9393E+01  7.3242E+00
   2.0418E+03  1.2837E+00  2.9393E+01  4.5840E+00
   2.3299E+03  1.2788E+00  2.9394E+01  8.3693E+00
   2.0422E+03  1.2837E+00  2.9394E+01  5.2381E+00
   2.3303E+03  1.2788E+00  2.9395E+01  9.4143E+00
   2.0426E+03  1.2837E+00  2.9395E+01  5.8921E+00
   2.3306E+03  1.2788E+00  2.9396E+01  1.0459E+01
   2.0428E+03  1.2836E+00  2.9396E+01  6.5460E+00
